,City,Lng,Lat,Temp_Max,Humidity,Cloudiness,Wind_Speed,Country,Date
320,Cássia,-46.9219,-20.5831,302.99,18,0,2.12,BR,1619288548
321,Monrovia,-10.7969,6.3005,304.15,74,40,5.14,LR,1619288548
322,Bathsheba,-59.5167,13.2167,302.15,58,40,8.75,BB,1619288549
323,Cidreira,-50.2056,-30.1811,296.76,69,25,6.01,BR,1619288549
324,Naze,129.4833,28.3667,291.02,71,97,8.92,JP,1619288550
325,Katherine,132.2667,-14.4667,289.15,63,88,1.54,AU,1619288550
326,Manakara,48.0167,-22.1333,294.91,90,8,0.25,MG,1619288551
327,Hamptons at Boca Raton,-80.1859,26.3826,303.15,65,40,5.66,US,1619288852
328,Aktobe,57.2072,50.2797,281.15,87,75,4.0,KZ,1619288322
329,Goba,39.9833,7.0167,284.27,92,97,1.14,ET,1619288552
330,Marabu,114.0089,4.4148,299.82,94,20,1.54,MY,1619288552
331,Kropotkin,40.5756,45.4375,281.56,71,68,3.44,RU,1619288553
332,Kasongo-Lunda,16.8167,-6.4667,294.74,93,98,0.39,CD,1619288553
333,Dolinsk,142.8,47.35,273.15,86,40,2.0,RU,1619288554
334,Richards Bay,32.0377,-28.783,293.8,85,70,5.35,ZA,1619288855
335,Zaysan,84.8667,47.4667,273.83,51,51,4.7,KZ,1619288555
336,Cururupu,-44.8683,-1.8283,303.04,63,100,2.73,BR,1619288555
337,Antalaha,50.2788,-14.9003,296.56,91,60,3.11,MG,1619288405
338,Manzhouli,117.4333,49.6,278.25,24,85,1.41,CN,1619288556
339,Amoy,118.0819,24.4798,296.15,68,75,5.0,CN,1619288557
340,Muros,-9.0603,42.7762,292.59,72,100,0.89,ES,1619288501
341,Saint-Augustin,-58.6502,51.226,276.82,79,92,5.34,CA,1619288558
342,Trelew,-65.3051,-43.249,289.83,38,11,2.47,AR,1619288302
343,Lavrentiya,-171.0,65.5833,268.89,93,85,1.16,RU,1619288558
344,La Romana,-68.9728,18.4273,305.15,51,40,7.72,DO,1619288629
345,Tsimmerbude,20.1347,54.675,276.48,70,40,4.0,RU,1619288559
346,Pacifica,-122.4869,37.6138,289.26,76,90,3.6,US,1619288560
347,Puerto Baquerizo Moreno,-89.6,-0.9,302.15,70,40,5.66,EC,1619288559
348,Auki,160.7034,-8.7676,298.29,86,90,1.13,SB,1619288561
349,Diamantino,-56.4461,-14.4086,304.81,49,41,0.45,BR,1619288550
350,Tambopata,-69.1833,-12.7333,303.15,74,40,3.6,PE,1619288561
351,Mackay,149.2,-21.15,293.15,94,75,2.57,AU,1619288562
352,Zhigansk,123.3711,66.7697,273.81,98,100,4.49,RU,1619288562
353,Port Hawkesbury,-61.3485,45.6169,283.15,43,90,6.17,CA,1619288861
354,Wattegama,81.4808,6.7989,297.5,90,95,0.4,LK,1619288564
